id,original_index,artist,album,title,recording_condition,midi_filepath,mp3_filepath,youtube_url,duration_sec,performance_start_sec,performance_end_sec,song_split,album_split_0,album_split_1,album_split_2,acoust_id,mb_album_id,mb_artist_id,mb_track_id,mb_recording_id,agreement,discogs_idx
10,14,Tete Montoliu,The Music I Like To Play - Vol. 4,All The Things You Are,studio,data/midi/studio/Tete Montoliu/The Music I Like To Play - Vol. 4/All The Things You Are.midi,data/audio/studio/Tete Montoliu/The Music I Like To Play - Vol. 4/All The Things You Are.mp3,https://www.youtube.com/watch?v=NqfXd4l3PKs,253.032,0,253,train,test,train,train,,,,,,0.9682464454976304,80
11,16,Dave McKenna,Dave McKenna -  Solo,C Jam Blues 2,studio,data/midi/studio/Dave McKenna/Dave McKenna -  Solo/C Jam Blues 2.midi,data/audio/studio/Dave McKenna/Dave McKenna -  Solo/C Jam Blues 2.mp3,https://www.youtube.com/watch?v=_ULq2QKdTBo,212.784,0,212,train,train,train,train,,,,,,0.7583035258048033,97
12,18,Alan Pasqua,Soliloquy,Embraceable You,studio,data/midi/studio/Alan Pasqua/Soliloquy/Embraceable You.midi,data/audio/studio/Alan Pasqua/Soliloquy/Embraceable You.mp3,https://www.youtube.com/watch?v=8AzQe9GcjoQ,297.984,0,298,test,train,test,train,,,,,,0.8565592374035407,133
13,20,Tete Montoliu,Solo Piano,Canço De Matinada,studio,data/midi/studio/Tete Montoliu/Solo Piano/Canço De Matinada.midi,data/audio/studio/Tete Montoliu/Solo Piano/Canço De Matinada.mp3,https://www.youtube.com/watch?v=iUdqp5xtUww,280.032,0,280,val,train,val,test,8aa1a912-65e8-4fc4-9aef-b1b1b2b9b906,fdc99fea-265b-4169-b869-0b4947983d82,769d402e-20c3-40ec-8369-86fe8120bce8,edf03439-c653-45ee-b970-9b68eca594e5,de003958-d79d-4b55-9966-00886bcf9699,0.9442815249266864,7
14,21,Art Tatum,"The Art Tatum Solo Masterpieces, Vol. 3",All The Things You Are,studio,"data/midi/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 3/All The Things You Are.midi","data/audio/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 3/All The Things You Are.mp3",https://www.youtube.com/watch?v=RWpXRROC5wA,361.56,0,361,test,train,train,train,27d6e352-7915-4d6a-bd1f-b9cedb15318d,fdca5f37-0fbb-4438-b9b8-368c75e3719f,e073f6af-d696-4340-b847-e81fabc4d55b,80b138e7-118c-3e82-abb3-aacb7ecd1433,c5167aa8-0207-477c-a230-2cc6a7eba442,0.9183959261616804,22
15,24,Ellis Marsalis,Duke In Blue,Drop Me Off In Harlem,studio,data/midi/studio/Ellis Marsalis/Duke In Blue/Drop Me Off In Harlem.midi,data/audio/studio/Ellis Marsalis/Duke In Blue/Drop Me Off In Harlem.mp3,https://www.youtube.com/watch?v=R4i4-tuB3kg,215.616,0,215,train,train,train,val,97f15fa8-6015-4307-a0d4-135b6495604a,38973b0c-6a70-451a-a99f-103d96727beb,c28999ee-ff26-4825-be24-b466e7b32821,d4fbb863-879f-3d46-b06e-32233b04014b,a77def3d-0fce-4804-a6cf-beb7c08e12bb,0.9669649002064692,203
16,26,Erroll Garner,Solo Time! The Erroll Garner Collection Vols. 4 & 5,If I Could Be With You,studio,data/midi/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/If I Could Be With You.midi,data/audio/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/If I Could Be With You.mp3,https://www.youtube.com/watch?v=KW5R43-JjhI,235.512,0,235,train,train,train,train,8d1d72a1-1245-4c4c-8340-658c4323fa3a,e2552704-2654-42af-a3b3-299f7c00a136,75bd5186-9d89-4da9-95de-fce055c28895,40c9c102-f24b-375a-90a0-292098608c9a,31b9d832-1258-41a5-acde-399f723e36d8,0.897422940879232,42
17,27,Dick Hyman,Autumn in New York - Dick Hyman Plays the Music of Vernon Duke,I Am Only Human After All,studio,data/midi/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/I Am Only Human After All.midi,data/audio/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/I Am Only Human After All.mp3,https://www.youtube.com/watch?v=-vUgCCmDm0c,82.08,0,82,train,train,train,train,,,,,,0.9080510338759348,58
18,28,Erroll Garner,Solo Time! The Erroll Garner Collection Vols. 4 & 5,"Medley -  The World Is Waiting For The Sunrise, Our Waltz, I Can't Escape From You",studio,"data/midi/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Medley -  The World Is Waiting For The Sunrise, Our Waltz, I Can't Escape From You.midi","data/audio/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Medley -  The World Is Waiting For The Sunrise, Our Waltz, I Can't Escape From You.mp3",https://www.youtube.com/watch?v=o_NhM90lKak,456.408,0,456,train,train,train,train,955a638a-1f0e-46fc-8561-78b61bc5a84e,b87aea54-653a-4a63-b364-8effc6f4dd4c,75bd5186-9d89-4da9-95de-fce055c28895,29329141-28d0-3cd3-b978-72f050a26b4c,dd7edfaa-8423-488d-9a40-11fa143ba716,0.7862573922838637,42
19,29,Dick Hyman,September Song - Dick Hyman Plays the Music of Kurt Weill,This Is New,studio,data/midi/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/This Is New.midi,data/audio/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/This Is New.mp3,https://www.youtube.com/watch?v=jobaeEiCaZE,168.552,0,168,test,train,train,train,,,,,,0.8674999999999999,60
20,32,Dick Hyman,Autumn in New York - Dick Hyman Plays the Music of Vernon Duke,Now,studio,data/midi/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/Now.midi,data/audio/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/Now.mp3,https://www.youtube.com/watch?v=5QxO8dtZYDg,129.864,0,129,train,train,train,train,,,,,,0.9429158110882956,58
21,33,Keith Jarrett,"The Melody At Night, With You",Someone To Watch Over Me,studio,"data/midi/studio/Keith Jarrett/The Melody At Night, With You/Someone To Watch Over Me.midi","data/audio/studio/Keith Jarrett/The Melody At Night, With You/Someone To Watch Over Me.mp3",https://www.youtube.com/watch?v=BFNGY8-kku8,300.024,0,300,train,train,train,train,7c8533b7-95e2-4e7b-b57b-f91281f45abf,7d515895-4004-49e6-aa61-8d31ee9e68a2,061c4920-3ea6-4835-98f6-02f3b82f5e3a,8c80fcab-12b3-3b8a-9535-8a48db54d11d,7479fa24-ec63-46e8-b86c-2417dd0e8974,0.8779986291980809,87
22,37,Oscar Peterson,Tracks (Remastered),Django - Remastered,studio,data/midi/studio/Oscar Peterson/Tracks (Remastered)/Django - Remastered.midi,data/audio/studio/Oscar Peterson/Tracks (Remastered)/Django - Remastered.mp3,https://www.youtube.com/watch?v=oCgNHaTUqoA,314.544,0,314,train,train,train,train,cea631e9-5977-4d03-bfae-1021ddd29528,11115b3a-d426-4244-ad19-2efccd987cf9,ed801bdd-f057-41c0-94fb-76cb5676cd59,9346131c-b387-41e6-a0d7-c4e23d6736f4,d8003328-7b4f-438d-a2f3-44ed3261ce8b,0.8725888324873098,21
23,40,George Shearing,Grand Piano,Easy To Love,studio,data/midi/studio/George Shearing/Grand Piano/Easy To Love.midi,data/audio/studio/George Shearing/Grand Piano/Easy To Love.mp3,https://www.youtube.com/watch?v=I2YMv8e7P4c,225.864,0,225,train,val,train,val,952f3e89-4700-48a7-a088-eaf9a85369f4,7f388023-ee38-449f-a9e7-541c395071f5,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,945817d6-9fee-3fb3-a343-f306ddad7270,ef97573a-be43-40b0-abce-d3c2ad77a562,0.9517270971894444,200
24,41,Tete Montoliu,The Music I Like To Play - Vol.1,Don't Smoke Anymore,studio,data/midi/studio/Tete Montoliu/The Music I Like To Play - Vol.1/Don't Smoke Anymore.midi,data/audio/studio/Tete Montoliu/The Music I Like To Play - Vol.1/Don't Smoke Anymore.mp3,https://www.youtube.com/watch?v=LjaYcxvuNoc,315.024,0,315,train,train,train,train,,,,,,0.9246717346233588,100
25,42,Joanne Brackeen,Popsicle Illusion,Nature Boy,studio,data/midi/studio/Joanne Brackeen/Popsicle Illusion/Nature Boy.midi,data/audio/studio/Joanne Brackeen/Popsicle Illusion/Nature Boy.mp3,https://www.youtube.com/watch?v=GniryEQM9eI,390.312,0,390,test,train,train,train,f8b952f7-b0fd-42e8-9a3c-483eabb9fedf,e9a7e3db-7032-4a0b-b3a9-9e4d970378e5,ec336bf6-e027-4690-b0ac-b95093162791,b3dc1a31-1b0b-403b-83ab-ca5092791c21,1c007b6e-0d9f-4cda-8ded-808c4df579ac,0.8967375886524823,25
26,43,Tete Montoliu,The Music I Like To Play - Vol.1,It Never Entered My Mind,studio,data/midi/studio/Tete Montoliu/The Music I Like To Play - Vol.1/It Never Entered My Mind.midi,data/audio/studio/Tete Montoliu/The Music I Like To Play - Vol.1/It Never Entered My Mind.mp3,https://www.youtube.com/watch?v=7CIzOhaGx3E,353.04,0,353,train,train,train,train,,,,,,0.9672604718343764,100
27,44,George Shearing,Grand Piano,Nobody Else But Me,studio,data/midi/studio/George Shearing/Grand Piano/Nobody Else But Me.midi,data/audio/studio/George Shearing/Grand Piano/Nobody Else But Me.mp3,https://www.youtube.com/watch?v=w2TTMqHF3fQ,207.384,0,207,train,test,train,val,058f9202-5e4e-4974-9c81-01f838f96676,7f388023-ee38-449f-a9e7-541c395071f5,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,ad2e559c-82d7-37cc-b170-60059162d02d,62b6c45d-abef-4e3a-b092-0a5b67c10e8d,0.9584323040380046,200
28,48,Fred Hersch,Songs From Home,West Virginia Rose  The Water is Wide,studio,data/midi/studio/Fred Hersch/Songs From Home/West Virginia Rose  The Water is Wide.midi,data/audio/studio/Fred Hersch/Songs From Home/West Virginia Rose  The Water is Wide.mp3,https://www.youtube.com/watch?v=_3Jmk7nn0fc,347.136,0,347,val,test,test,train,76b04f30-2196-4080-baab-181e95b06766,1e890175-3d67-4fc1-a8af-3120619d671d,f573100a-b05b-4286-83f0-5620adf73695,cafaf78a-e0f5-4e3d-8d14-91ae51ea5ca1,f8963273-4640-406b-8184-60d9e5ee3082,0.8725891291642315,197
29,52,Dave McKenna,Dave Fingers McKenna,Willie The Weeper,studio,data/midi/studio/Dave McKenna/Dave Fingers McKenna/Willie The Weeper.midi,data/audio/studio/Dave McKenna/Dave Fingers McKenna/Willie The Weeper.mp3,https://www.youtube.com/watch?v=LDj34a-Hm_M,289.8,0,289,train,train,train,train,,c00dae75-1840-46fd-95bc-1929a6206141,a048dfa0-5ce1-40ca-bcdf-56f9d56b32ae,204296a1-dfa7-4516-a40c-7760716a7704,632db8f5-30ac-4c33-b5cb-e6184a2bafc9,0.8889567740950053,12
30,53,Erroll Garner,Solo Time! The Erroll Garner Collection Vols. 4 & 5,Sleepy Lagoon,studio,data/midi/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Sleepy Lagoon.midi,data/audio/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Sleepy Lagoon.mp3,https://www.youtube.com/watch?v=sTHNdFLvpE4,307.752,0,307,train,train,train,train,3c1bcd39-4730-417e-9f72-8d4d03108c68,b87aea54-653a-4a63-b364-8effc6f4dd4c,75bd5186-9d89-4da9-95de-fce055c28895,985b55f0-e649-38b5-ab8a-fbee3e6119ee,4456e13d-5d24-43fb-b6ac-e18a07a3eb0a,0.9215236346948142,42
31,55,Erroll Garner,Solo Time! The Erroll Garner Collection Vols. 4 & 5,Indian Summer,studio,data/midi/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Indian Summer.midi,data/audio/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Indian Summer.mp3,https://www.youtube.com/watch?v=W-yxc-fmeoc,243.576,0,243,test,train,train,train,bf5f9510-fe85-40b4-9d6d-bc9ce2ca06d0,e2552704-2654-42af-a3b3-299f7c00a136,75bd5186-9d89-4da9-95de-fce055c28895,f9a4ada5-bc2f-33b6-8fd1-7752f7d59197,8e890e10-d7e8-4300-9a3b-410747973193,0.9091196459617512,42
32,56,Andy Laverne,In The Mood For A Classic,Glass enclosure,studio,data/midi/studio/Andy Laverne/In The Mood For A Classic/Glass enclosure.midi,data/audio/studio/Andy Laverne/In The Mood For A Classic/Glass enclosure.mp3,https://www.youtube.com/watch?v=nV1aSf-IAKY,264.024,0,264,train,val,train,train,6b8b0efe-2658-405a-b6ab-af33c03153ea,8454bb32-6955-466c-9086-0befed62a7b8,e88ae791-cd20-4298-943a-66fd6d222698,ba336d86-b912-401b-9c83-7c7f5143e717,e5f01ef3-8b25-41ef-b8e4-69ef642ab0df,0.8870858688302907,246
33,57,Joanne Brackeen,Popsicle Illusion,Prelude to a Kiss,studio,data/midi/studio/Joanne Brackeen/Popsicle Illusion/Prelude to a Kiss.midi,data/audio/studio/Joanne Brackeen/Popsicle Illusion/Prelude to a Kiss.mp3,https://www.youtube.com/watch?v=Z8yCz93BIAo,377.16,0,377,train,train,train,train,19dec88e-ab07-4cb5-bf7b-a04e654f6325,e9a7e3db-7032-4a0b-b3a9-9e4d970378e5,ec336bf6-e027-4690-b0ac-b95093162791,d6174620-ab14-48b8-b372-735ac6087099,1e2fb0ef-12cb-47c6-8701-3f261103b6d4,0.8879686137750655,25
34,59,Kenny Barron,At The Piano,Enchanted Flower,studio,data/midi/studio/Kenny Barron/At The Piano/Enchanted Flower.midi,data/audio/studio/Kenny Barron/At The Piano/Enchanted Flower.mp3,https://www.youtube.com/watch?v=I1XWAvtI2NE,379.344,0,379,train,train,train,train,cc56845c-1251-44a7-8c72-b1862f85a831,33bc7bdb-17ba-4f6c-b591-c4b594b77279,6b2e6e7c-4289-447c-a3dc-120e386da267,eede86be-cdf0-4bbb-a327-36175f10b729,0563972e-c4ce-4d52-bd27-c72991081de1,0.9171974522292994,144
35,60,Alan Broadbent,Heart to Heart -  Solo Piano,Blue in Green,studio,data/midi/studio/Alan Broadbent/Heart to Heart -  Solo Piano/Blue in Green.midi,data/audio/studio/Alan Broadbent/Heart to Heart -  Solo Piano/Blue in Green.mp3,https://www.youtube.com/watch?v=3AEtvA8C2bQ,619.56,0,619,val,train,train,train,,,,,,0.9009287925696594,119
36,61,Abdullah Ibrahim,Solotude,Dreamtime,studio,data/midi/studio/Abdullah Ibrahim/Solotude/Dreamtime.midi,data/audio/studio/Abdullah Ibrahim/Solotude/Dreamtime.mp3,https://www.youtube.com/watch?v=ElKnJWL7lvA,150.744,0,150,test,val,train,train,1ce38cbf-9edf-405c-b81d-2fdde147aec3,a7f3e66d-6b62-4e27-b75c-5b45e92d39c6,fd64e185-9973-44d5-ad09-5d5562804292,d2aad026-28b6-4239-a6d8-712a53161a3f,01e9a318-58ba-47a8-92c9-1d22679ab33b,0.9313868613138686,129
37,62,Dick Hyman,Dick Hyman Plays Variations on Richard Rodgers -  Rodgers & Hammerstein,A Wonderful Guy,studio,data/midi/studio/Dick Hyman/Dick Hyman Plays Variations on Richard Rodgers -  Rodgers & Hammerstein/A Wonderful Guy.midi,data/audio/studio/Dick Hyman/Dick Hyman Plays Variations on Richard Rodgers -  Rodgers & Hammerstein/A Wonderful Guy.mp3,https://www.youtube.com/watch?v=KoEuU74T9IE,238.368,0,238,train,train,train,train,3bdd30b7-fc74-4523-ba30-2cc6f9a5202f,f54bfec3-6668-4a6a-911a-a5673a205be1,dab1ad75-3ea3-4071-91c4-7a66475599d4,5f6309a7-94db-45ca-bbbb-59739579aa2a,15681073-4a0b-4c2e-b7ba-190c7f64c0f8,0.935483870967742,89
38,64,George Shearing,Grand Piano,While We're Young,studio,data/midi/studio/George Shearing/Grand Piano/While We're Young.midi,data/audio/studio/George Shearing/Grand Piano/While We're Young.mp3,https://www.youtube.com/watch?v=1wWI9CSOjaU,304.008,0,304,train,test,train,val,e023b21b-9d1d-4709-9ae7-3cc5b7901ae2,7f388023-ee38-449f-a9e7-541c395071f5,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,b50e21c3-8527-349e-b854-eb0740459bcc,afdb12a6-8db0-4cba-affb-43fc05c117ef,0.8856760374832663,200
39,66,Hank Jones,SOLO 1976 A Tribute to Duke Ellington,Prelude To A Kiss,studio,data/midi/studio/Hank Jones/SOLO 1976 A Tribute to Duke Ellington/Prelude To A Kiss.midi,data/audio/studio/Hank Jones/SOLO 1976 A Tribute to Duke Ellington/Prelude To A Kiss.mp3,https://www.youtube.com/watch?v=QlkkDwBwdZs,241.584,0,241,train,test,train,test,,,,,,0.8808362369337979,174
40,67,George Shearing,The Shearing Piano,It Never Entered My Mind,studio,data/midi/studio/George Shearing/The Shearing Piano/It Never Entered My Mind.midi,data/audio/studio/George Shearing/The Shearing Piano/It Never Entered My Mind.mp3,https://www.youtube.com/watch?v=Zms0zI9wXwk,196.296,0,196,train,train,val,train,10f6adce-94a0-4e95-9a08-b2de2fcef5ea,29ae73cf-1a8a-420d-a03d-116f48fe853a,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,a8693df3-63f0-42e3-a34c-c3d3d7edc77e,1acf26ff-0699-4034-ba7c-58e5e6b5fb2c,0.8442408376963351,16
41,69,Oscar Peterson,1951,Hungarian Dance,studio,data/midi/studio/Oscar Peterson/1951/Hungarian Dance.midi,data/audio/studio/Oscar Peterson/1951/Hungarian Dance.mp3,https://www.youtube.com/watch?v=Dbp8faF4mjc,183.528,0,183,train,train,train,val,1962a47c-8834-436e-980f-aba632baccd9,716d857a-d921-4c5b-b12f-db98f1f04839,ed801bdd-f057-41c0-94fb-76cb5676cd59,d1a2b94c-650b-3638-bdaa-f3a9265fcb09,5347ebb1-b62e-4d5d-bb8e-98d97e2bcb17,0.854356846473029,190
42,70,Alan Pasqua,Day Dream,Day Dream,studio,data/midi/studio/Alan Pasqua/Day Dream/Day Dream.midi,data/audio/studio/Alan Pasqua/Day Dream/Day Dream.mp3,https://www.youtube.com/watch?v=83UGVYWy1j0,350.568,0,350,train,test,train,val,,,,,,0.8919999999999999,189
43,71,Dick Hyman,Autumn in New York - Dick Hyman Plays the Music of Vernon Duke,When You Live On An Island,studio,data/midi/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/When You Live On An Island.midi,data/audio/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/When You Live On An Island.mp3,https://www.youtube.com/watch?v=TAIRHlmHLVw,127.392,0,127,train,train,train,train,,,,,,0.8949152542372882,58
44,72,Denny Zeitlin,Homecoming,Hymn,studio,data/midi/studio/Denny Zeitlin/Homecoming/Hymn.midi,data/audio/studio/Denny Zeitlin/Homecoming/Hymn.mp3,https://www.youtube.com/watch?v=m548ZJcTw7o,298.944,0,299,train,test,train,train,,,,,,0.7768595041322315,28
45,73,Abdullah Ibrahim,Senzo,"Banyana, Children Of Africa",studio,"data/midi/studio/Abdullah Ibrahim/Senzo/Banyana, Children Of Africa.midi","data/audio/studio/Abdullah Ibrahim/Senzo/Banyana, Children Of Africa.mp3",https://www.youtube.com/watch?v=JUVF7rv2I_c,51.792,0,51,test,train,train,train,9d5e36a9-6c60-448b-9526-7c3a63d3403d,f50423f6-1d01-4cb7-bc86-9c2ff6579a60,fd64e185-9973-44d5-ad09-5d5562804292,dceca26c-a97a-3ac5-93de-fb23b159f278,c61d0165-b602-49e0-a2db-6067abb942a9,0.8742004264392325,81
46,74,Duke Jordan,"Solo Master Pieces, Vol. 2",Truth,studio,"data/midi/studio/Duke Jordan/Solo Master Pieces, Vol. 2/Truth.midi","data/audio/studio/Duke Jordan/Solo Master Pieces, Vol. 2/Truth.mp3",https://www.youtube.com/watch?v=bWzvBHWXnjQ,164.856,0,164,train,train,test,train,,,,,,0.9317476732161324,176
47,76,Oscar Peterson,1951,Tea For Two,studio,data/midi/studio/Oscar Peterson/1951/Tea For Two.midi,data/audio/studio/Oscar Peterson/1951/Tea For Two.mp3,https://www.youtube.com/watch?v=JSSq2qgPoO0,178.032,0,178,train,train,train,val,d7838fae-a523-4d4e-bc13-1173b6c90683,716d857a-d921-4c5b-b12f-db98f1f04839,ed801bdd-f057-41c0-94fb-76cb5676cd59,e19040dd-e9d0-3bc7-8c47-3e0779265a80,0c553449-7809-4654-b478-6519a3ceb49f,0.8739343370215853,190
48,80,George Shearing,The Shearing Piano,Don't Explain,studio,data/midi/studio/George Shearing/The Shearing Piano/Don't Explain.midi,data/audio/studio/George Shearing/The Shearing Piano/Don't Explain.mp3,https://www.youtube.com/watch?v=NU85jW8tFNU,148.968,0,149,train,train,val,train,6f2108f6-d36c-486b-879c-faaaab1eb7e1,29ae73cf-1a8a-420d-a03d-116f48fe853a,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,9c83dcb8-4c1c-4fec-813b-3af75bd26dbd,fcc418d7-a048-48f4-a59b-6387231e5288,0.908641975308642,16
49,81,Ellis Marsalis,Ruminations in New York,A Moment Alone,studio,data/midi/studio/Ellis Marsalis/Ruminations in New York/A Moment Alone.midi,data/audio/studio/Ellis Marsalis/Ruminations in New York/A Moment Alone.mp3,https://www.youtube.com/watch?v=oEgpYQTMjZc,289.224,0,289,train,train,train,train,eec77844-e842-42a3-a469-4e6d47050771,d937b6ce-b95b-419a-bb6c-10ec2fce0bf0,c28999ee-ff26-4825-be24-b466e7b32821,11d820b4-b9c9-3f0b-bea4-f39be2328773,59f2551a-21d3-46fe-b841-a1b0695f15e2,0.961552818215752,204
