id,artist,album,title,recording_condition,midi_filepath,mp3_filepath,youtube_url,duration_sec,performance_start_sec,performance_end_sec,split,acoust_id,mb_album_id,mb_artist_id,mb_track_id,mb_recording_id,agreement,discogs_idx
14,Tete Montoliu,The Music I Like To Play - Vol. 4,All The Things You Are,studio,data/midi/studio/Tete Montoliu/The Music I Like To Play - Vol. 4/All The Things You Are.midi,data/audio/studio/Tete Montoliu/The Music I Like To Play - Vol. 4/All The Things You Are.mp3,https://www.youtube.com/watch?v=NqfXd4l3PKs,253.032,0,253,train,,,,,,0.9682464454976304,80
15,Tigran Hamasyan,A Fable,The Legend Of The Moon,studio,data/midi/studio/Tigran Hamasyan/A Fable/The Legend Of The Moon.midi,data/audio/studio/Tigran Hamasyan/A Fable/The Legend Of The Moon.mp3,https://www.youtube.com/watch?v=lTMvNsLetwQ,332.352,0,332,train,eab1b6b7-bfed-47bd-a6a5-a2747b2afd61,9fc5273a-568e-4e97-9807-87e52b916cfa,c57e3280-5182-42a5-812b-02659a079c44,eff7fdd9-7ee0-32d0-9dff-ae3b42775fb1,4cf05061-24fc-4797-b4c3-8c0f49df5bf1,0.8314606741573033,153
16,Dave McKenna,Dave McKenna -  Solo,C Jam Blues 2,studio,data/midi/studio/Dave McKenna/Dave McKenna -  Solo/C Jam Blues 2.midi,data/audio/studio/Dave McKenna/Dave McKenna -  Solo/C Jam Blues 2.mp3,https://www.youtube.com/watch?v=_ULq2QKdTBo,212.784,0,212,train,,,,,,0.7583035258048033,97
17,Eric Reed,Mercy and Grace,Mercy and Grace,studio,data/midi/studio/Eric Reed/Mercy and Grace/Mercy and Grace.midi,data/audio/studio/Eric Reed/Mercy and Grace/Mercy and Grace.mp3,https://www.youtube.com/watch?v=3Spxm-FYHdc,116.496,0,116,train,,,,,,0.8804597701149426,103
18,Alan Pasqua,Soliloquy,Embraceable You,studio,data/midi/studio/Alan Pasqua/Soliloquy/Embraceable You.midi,data/audio/studio/Alan Pasqua/Soliloquy/Embraceable You.mp3,https://www.youtube.com/watch?v=8AzQe9GcjoQ,297.984,0,298,train,,,,,,0.8565592374035407,133
19,David Berkman,Plays the Music of John Coltrane and Pete Seeger,This Land Is Your Land,studio,data/midi/studio/David Berkman/Plays the Music of John Coltrane and Pete Seeger/This Land Is Your Land.midi,data/audio/studio/David Berkman/Plays the Music of John Coltrane and Pete Seeger/This Land Is Your Land.mp3,https://www.youtube.com/watch?v=vGhA7HK9FD0,151.344,0,150,train,,,,,,0.8101265822784811,10
20,Tete Montoliu,Solo Piano,Canço De Matinada,studio,data/midi/studio/Tete Montoliu/Solo Piano/Canço De Matinada.midi,data/audio/studio/Tete Montoliu/Solo Piano/Canço De Matinada.mp3,https://www.youtube.com/watch?v=iUdqp5xtUww,280.032,0,280,train,8aa1a912-65e8-4fc4-9aef-b1b1b2b9b906,fdc99fea-265b-4169-b869-0b4947983d82,769d402e-20c3-40ec-8369-86fe8120bce8,edf03439-c653-45ee-b970-9b68eca594e5,de003958-d79d-4b55-9966-00886bcf9699,0.9442815249266863,7
21,Art Tatum,"The Art Tatum Solo Masterpieces, Vol. 3",All The Things You Are,studio,"data/midi/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 3/All The Things You Are.midi","data/audio/studio/Art Tatum/The Art Tatum Solo Masterpieces, Vol. 3/All The Things You Are.mp3",https://www.youtube.com/watch?v=RWpXRROC5wA,361.56,0,361,train,27d6e352-7915-4d6a-bd1f-b9cedb15318d,fdca5f37-0fbb-4438-b9b8-368c75e3719f,e073f6af-d696-4340-b847-e81fabc4d55b,80b138e7-118c-3e82-abb3-aacb7ecd1433,c5167aa8-0207-477c-a230-2cc6a7eba442,0.9183959261616805,22
22,Kris Davis,Aeriol Piano,The Last Time,studio,data/midi/studio/Kris Davis/Aeriol Piano/The Last Time.midi,data/audio/studio/Kris Davis/Aeriol Piano/The Last Time.mp3,https://www.youtube.com/watch?v=fsZpOJT3cIE,215.736,0,215,train,,,,,,0.8825396825396826,113
23,Teddy Wilson,Solo Piano - The Keystone Transriptions,Sunday,studio,data/midi/studio/Teddy Wilson/Solo Piano - The Keystone Transriptions/Sunday.midi,data/audio/studio/Teddy Wilson/Solo Piano - The Keystone Transriptions/Sunday.mp3,https://www.youtube.com/watch?v=DUDYK0Fhb84,145.536,0,145,train,f1916cce-896b-4258-b67b-8a2980f7db63,c488f9df-0862-4f0a-8a9f-d98fb7c96c3b,2e89725a-ac85-414c-b3b2-70f0a82fae9a,1e3cdae4-f14c-4541-b593-4ab1a2f7d52f,fe91b28f-2b15-449e-80ae-1bb0181c0b18,0.40941407207648933,69
24,Ellis Marsalis,Duke In Blue,Drop Me Off In Harlem,studio,data/midi/studio/Ellis Marsalis/Duke In Blue/Drop Me Off In Harlem.midi,data/audio/studio/Ellis Marsalis/Duke In Blue/Drop Me Off In Harlem.mp3,https://www.youtube.com/watch?v=R4i4-tuB3kg,215.616,0,215,train,97f15fa8-6015-4307-a0d4-135b6495604a,38973b0c-6a70-451a-a99f-103d96727beb,c28999ee-ff26-4825-be24-b466e7b32821,d4fbb863-879f-3d46-b06e-32233b04014b,a77def3d-0fce-4804-a6cf-beb7c08e12bb,0.9669649002064693,203
25,Dick Hyman,Century Of Jazz Piano 5cd+dvd,"Well, You Needn't",studio,"data/midi/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Well, You Needn't.midi","data/audio/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Well, You Needn't.mp3",https://www.youtube.com/watch?v=jaCRcEdt37Q,283.776,0,283,train,08dcb481-821a-4526-b536-b1cc2726f755,6ee1cbf7-67c4-48c6-926e-52248b4c95f3,dab1ad75-3ea3-4071-91c4-7a66475599d4,c97124df-3089-4f8a-b98e-5f77575ca125,5b96608b-14e6-49c6-bc50-f46e7f6c6327,0.9489096573208723,121
26,Erroll Garner,Solo Time! The Erroll Garner Collection Vols. 4 & 5,If I Could Be With You,studio,data/midi/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/If I Could Be With You.midi,data/audio/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/If I Could Be With You.mp3,https://www.youtube.com/watch?v=KW5R43-JjhI,235.512,0,235,train,8d1d72a1-1245-4c4c-8340-658c4323fa3a,e2552704-2654-42af-a3b3-299f7c00a136,75bd5186-9d89-4da9-95de-fce055c28895,40c9c102-f24b-375a-90a0-292098608c9a,31b9d832-1258-41a5-acde-399f723e36d8,0.897422940879232,42
27,Dick Hyman,Autumn in New York - Dick Hyman Plays the Music of Vernon Duke,I Am Only Human After All,studio,data/midi/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/I Am Only Human After All.midi,data/audio/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/I Am Only Human After All.mp3,https://www.youtube.com/watch?v=-vUgCCmDm0c,82.08,0,82,train,,,,,,0.9080510338759349,58
28,Erroll Garner,Solo Time! The Erroll Garner Collection Vols. 4 & 5,"Medley -  The World Is Waiting For The Sunrise, Our Waltz, I Can't Escape From You",studio,"data/midi/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Medley -  The World Is Waiting For The Sunrise, Our Waltz, I Can't Escape From You.midi","data/audio/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Medley -  The World Is Waiting For The Sunrise, Our Waltz, I Can't Escape From You.mp3",https://www.youtube.com/watch?v=o_NhM90lKak,456.408,0,456,train,955a638a-1f0e-46fc-8561-78b61bc5a84e,b87aea54-653a-4a63-b364-8effc6f4dd4c,75bd5186-9d89-4da9-95de-fce055c28895,29329141-28d0-3cd3-b978-72f050a26b4c,dd7edfaa-8423-488d-9a40-11fa143ba716,0.7862573922838637,42
29,Dick Hyman,September Song - Dick Hyman Plays the Music of Kurt Weill,This Is New,studio,data/midi/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/This Is New.midi,data/audio/studio/Dick Hyman/September Song - Dick Hyman Plays the Music of Kurt Weill/This Is New.mp3,https://www.youtube.com/watch?v=jobaeEiCaZE,168.552,0,168,train,,,,,,0.8674999999999999,60
30,Monty Alexander,Solo,Untitled,studio,data/midi/studio/Monty Alexander/Solo/Untitled.midi,data/audio/studio/Monty Alexander/Solo/Untitled.mp3,https://www.youtube.com/watch?v=LesfBANkC0Y,259.224,0,259,train,82d945f8-5436-480e-ab70-83eb9f19214e,0d55a750-ef7d-4845-a5fa-d19a1b543350,7c1f9644-46dc-47fa-b4a7-a7a9cc8a2a8f,700d4e71-7247-360d-8e58-4b5a45ef7753,f73c8686-e42f-4095-b5b5-8dca2fd0539f,0.8644995172191825,236
31,Tigran Hamasyan,A Fable,Illusion,studio,data/midi/studio/Tigran Hamasyan/A Fable/Illusion.midi,data/audio/studio/Tigran Hamasyan/A Fable/Illusion.mp3,https://www.youtube.com/watch?v=-oTLShYt0dI,91.08,0,91,train,4fefbcdd-fbfc-450c-8c46-72cbb5c52b04,9fc5273a-568e-4e97-9807-87e52b916cfa,c57e3280-5182-42a5-812b-02659a079c44,5136815c-56b0-3181-8678-8792871dc20f,1ed75f23-9534-4a69-8f74-c423e25476e4,0.8647845468053492,153
32,Dick Hyman,Autumn in New York - Dick Hyman Plays the Music of Vernon Duke,Now,studio,data/midi/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/Now.midi,data/audio/studio/Dick Hyman/Autumn in New York - Dick Hyman Plays the Music of Vernon Duke/Now.mp3,https://www.youtube.com/watch?v=5QxO8dtZYDg,129.864,0,129,train,,,,,,0.9429158110882957,58
33,Keith Jarrett,"The Melody At Night, With You",Someone To Watch Over Me,studio,"data/midi/studio/Keith Jarrett/The Melody At Night, With You/Someone To Watch Over Me.midi","data/audio/studio/Keith Jarrett/The Melody At Night, With You/Someone To Watch Over Me.mp3",https://www.youtube.com/watch?v=BFNGY8-kku8,300.024,0,300,train,7c8533b7-95e2-4e7b-b57b-f91281f45abf,7d515895-4004-49e6-aa61-8d31ee9e68a2,061c4920-3ea6-4835-98f6-02f3b82f5e3a,8c80fcab-12b3-3b8a-9535-8a48db54d11d,7479fa24-ec63-46e8-b86c-2417dd0e8974,0.8779986291980809,87
34,Chris Anderson,From the Heart,There's a Lull in My Life,studio,data/midi/studio/Chris Anderson/From the Heart/There's a Lull in My Life.midi,data/audio/studio/Chris Anderson/From the Heart/There's a Lull in My Life.mp3,https://www.youtube.com/watch?v=uz-hMSNYtv8,686.88,0,686,train,,,,,,0.9222857142857143,104
35,Michel Legrand,"Oscar, With Love -  The Songs of Oscar Peterson",Dream of Me,studio,"data/midi/studio/Michel Legrand/Oscar, With Love -  The Songs of Oscar Peterson/Dream of Me.midi","data/audio/studio/Michel Legrand/Oscar, With Love -  The Songs of Oscar Peterson/Dream of Me.mp3",https://www.youtube.com/watch?v=9uL0rGZ4hTI,496.416,0,496,train,,,,,,0.9205683671092477,216
36,Eldar Djangirov,Letter to Liz,Waltz for Debby,studio,data/midi/studio/Eldar Djangirov/Letter to Liz/Waltz for Debby.midi,data/audio/studio/Eldar Djangirov/Letter to Liz/Waltz for Debby.mp3,https://www.youtube.com/watch?v=Dd4y8Z3K6Q8,205.68,0,205,train,,,,,,0.860215053763441,158
37,Oscar Peterson,Tracks (Remastered),Django - Remastered,studio,data/midi/studio/Oscar Peterson/Tracks (Remastered)/Django - Remastered.midi,data/audio/studio/Oscar Peterson/Tracks (Remastered)/Django - Remastered.mp3,https://www.youtube.com/watch?v=oCgNHaTUqoA,314.544,0,314,train,cea631e9-5977-4d03-bfae-1021ddd29528,11115b3a-d426-4244-ad19-2efccd987cf9,ed801bdd-f057-41c0-94fb-76cb5676cd59,9346131c-b387-41e6-a0d7-c4e23d6736f4,d8003328-7b4f-438d-a2f3-44ed3261ce8b,0.8725888324873098,21
38,Dick Hyman,Century Of Jazz Piano 5cd+dvd,Little Rock Getaway,studio,data/midi/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Little Rock Getaway.midi,data/audio/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Little Rock Getaway.mp3,https://www.youtube.com/watch?v=o9BMew2pDf0,121.824,0,121,train,9f044cfa-77a0-4275-ab6e-e64deb39ebcf,6ee1cbf7-67c4-48c6-926e-52248b4c95f3,dab1ad75-3ea3-4071-91c4-7a66475599d4,ec316313-e0d9-48e6-8107-8391408352ce,7a0c3cf6-0003-4399-b765-46107d70e0bd,0.9598540145985403,121
39,Jed Distler,Quiet Now,Fall,studio,data/midi/studio/Jed Distler/Quiet Now/Fall.midi,data/audio/studio/Jed Distler/Quiet Now/Fall.mp3,https://www.youtube.com/watch?v=hK80L9YuFk0,240.576,0,240,train,,,,,,0.9185823754789272,93
40,George Shearing,Grand Piano,Easy To Love,studio,data/midi/studio/George Shearing/Grand Piano/Easy To Love.midi,data/audio/studio/George Shearing/Grand Piano/Easy To Love.mp3,https://www.youtube.com/watch?v=I2YMv8e7P4c,225.864,0,225,train,952f3e89-4700-48a7-a088-eaf9a85369f4,7f388023-ee38-449f-a9e7-541c395071f5,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,945817d6-9fee-3fb3-a343-f306ddad7270,ef97573a-be43-40b0-abce-d3c2ad77a562,0.9517270971894444,200
41,Tete Montoliu,The Music I Like To Play - Vol.1,Don't Smoke Anymore,studio,data/midi/studio/Tete Montoliu/The Music I Like To Play - Vol.1/Don't Smoke Anymore.midi,data/audio/studio/Tete Montoliu/The Music I Like To Play - Vol.1/Don't Smoke Anymore.mp3,https://www.youtube.com/watch?v=LjaYcxvuNoc,315.024,0,315,train,,,,,,0.9246717346233587,100
42,Joanne Brackeen,Popsicle Illusion,Nature Boy,studio,data/midi/studio/Joanne Brackeen/Popsicle Illusion/Nature Boy.midi,data/audio/studio/Joanne Brackeen/Popsicle Illusion/Nature Boy.mp3,https://www.youtube.com/watch?v=GniryEQM9eI,390.312,0,390,train,f8b952f7-b0fd-42e8-9a3c-483eabb9fedf,e9a7e3db-7032-4a0b-b3a9-9e4d970378e5,ec336bf6-e027-4690-b0ac-b95093162791,b3dc1a31-1b0b-403b-83ab-ca5092791c21,1c007b6e-0d9f-4cda-8ded-808c4df579ac,0.8967375886524823,25
43,Tete Montoliu,The Music I Like To Play - Vol.1,It Never Entered My Mind,studio,data/midi/studio/Tete Montoliu/The Music I Like To Play - Vol.1/It Never Entered My Mind.midi,data/audio/studio/Tete Montoliu/The Music I Like To Play - Vol.1/It Never Entered My Mind.mp3,https://www.youtube.com/watch?v=7CIzOhaGx3E,353.04,0,353,train,,,,,,0.9672604718343765,100
44,George Shearing,Grand Piano,Nobody Else But Me,studio,data/midi/studio/George Shearing/Grand Piano/Nobody Else But Me.midi,data/audio/studio/George Shearing/Grand Piano/Nobody Else But Me.mp3,https://www.youtube.com/watch?v=w2TTMqHF3fQ,207.384,0,207,train,058f9202-5e4e-4974-9c81-01f838f96676,7f388023-ee38-449f-a9e7-541c395071f5,ef83af4c-4da9-47d1-b9bd-df9db18b28e9,ad2e559c-82d7-37cc-b170-60059162d02d,62b6c45d-abef-4e3a-b092-0a5b67c10e8d,0.9584323040380046,200
45,Eric Reed,Reflections of a Grateful Heart,'Tis so Sweet,studio,data/midi/studio/Eric Reed/Reflections of a Grateful Heart/'Tis so Sweet.midi,data/audio/studio/Eric Reed/Reflections of a Grateful Heart/'Tis so Sweet.mp3,https://www.youtube.com/watch?v=MRtqd3hediY,151.584,0,151,train,,,,,,0.8446389496717723,223
46,Ahmad Jamal,Ballades,Whisperings,studio,data/midi/studio/Ahmad Jamal/Ballades/Whisperings.midi,data/audio/studio/Ahmad Jamal/Ballades/Whisperings.mp3,https://www.youtube.com/watch?v=MlxlR7Ygdaw,209.952,0,210,train,98be5729-84ad-4bfb-aa42-c0afc3a47a84,d13dc9f0-2dbc-45fd-ab0f-b569ff5df532,cf816800-4e0e-4d80-9cca-50a725e93787,59f432c7-021d-45f2-8f39-d5397cd80efc,7a819f71-34d4-4951-927e-d983e3dd998f,0.9119031607262946,0
47,Dick Hyman,Century Of Jazz Piano 5cd+dvd,Complainin',studio,data/midi/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Complainin'.midi,data/audio/studio/Dick Hyman/Century Of Jazz Piano 5cd+dvd/Complainin'.mp3,https://www.youtube.com/watch?v=44F-hqrZtCc,167.904,0,167,train,4ad6b72a-516c-4ba6-bf28-ee1b097ee679,6ee1cbf7-67c4-48c6-926e-52248b4c95f3,dab1ad75-3ea3-4071-91c4-7a66475599d4,ebbc0b26-b061-4e0a-bb9b-7cca82488ca7,57483b56-1599-4c72-938c-ebd8092bc4e9,0.8838299296953465,121
48,Fred Hersch,Songs From Home,West Virginia Rose  The Water is Wide,studio,data/midi/studio/Fred Hersch/Songs From Home/West Virginia Rose  The Water is Wide.midi,data/audio/studio/Fred Hersch/Songs From Home/West Virginia Rose  The Water is Wide.mp3,https://www.youtube.com/watch?v=_3Jmk7nn0fc,347.136,0,347,train,76b04f30-2196-4080-baab-181e95b06766,1e890175-3d67-4fc1-a8af-3120619d671d,f573100a-b05b-4286-83f0-5620adf73695,cafaf78a-e0f5-4e3d-8d14-91ae51ea5ca1,f8963273-4640-406b-8184-60d9e5ee3082,0.8725891291642315,197
49,Lynne Arriale,Solo,Wouldn't It Be Loverly,studio,data/midi/studio/Lynne Arriale/Solo/Wouldn't It Be Loverly.midi,data/audio/studio/Lynne Arriale/Solo/Wouldn't It Be Loverly.mp3,https://www.youtube.com/watch?v=XWbvy3DP32Q,351.696,0,351,train,df6488ad-6fbd-4373-ae9c-0fcf40253806,01d5b963-d276-4aad-89dd-c616848f700e,f4a2628d-9668-45b5-9680-89fe0f87bab3/c651405a-bdf8-4028-9400-cd08e9e74b41/4ac2cd2f-3493-4136-8e3f-b003baed2b9b,1deb842f-54b6-33dc-b3dc-491546dc1200,50bc3191-f361-494c-9cc8-376bbd39fbb7,0.9487080601619745,194
50,Kenny Drew,SoloDuo,A Simple Need,studio,data/midi/studio/Kenny Drew/SoloDuo/A Simple Need.midi,data/audio/studio/Kenny Drew/SoloDuo/A Simple Need.mp3,https://www.youtube.com/watch?v=I5cUxe5WaHk,182.832,0,182,train,c1901b92-6429-4084-84fe-74c41996e98f,790e2026-51d5-4593-9122-12aab60bcc49,99122661-412b-46bd-9cf4-ab52d41559b8,db3592b6-8a33-4725-8d91-8a85110a34c1,b931981b-7718-4c67-8ff8-3981948041c8,0.951397326852977,258
51,Simon Mulligan,American Songbook,Fly Me to the Moon (In Other Words),studio,data/midi/studio/Simon Mulligan/American Songbook/Fly Me to the Moon (In Other Words).midi,data/audio/studio/Simon Mulligan/American Songbook/Fly Me to the Moon (In Other Words).mp3,https://www.youtube.com/watch?v=jptgicl0Z6M,261.312,0,261,train,,,,,,0.9452341137123745,26
52,Dave McKenna,Dave Fingers McKenna,Willie The Weeper,studio,data/midi/studio/Dave McKenna/Dave Fingers McKenna/Willie The Weeper.midi,data/audio/studio/Dave McKenna/Dave Fingers McKenna/Willie The Weeper.mp3,https://www.youtube.com/watch?v=LDj34a-Hm_M,289.8,0,289,train,,c00dae75-1840-46fd-95bc-1929a6206141,a048dfa0-5ce1-40ca-bcdf-56f9d56b32ae,204296a1-dfa7-4516-a40c-7760716a7704,632db8f5-30ac-4c33-b5cb-e6184a2bafc9,0.8889567740950053,12
53,Erroll Garner,Solo Time! The Erroll Garner Collection Vols. 4 & 5,Sleepy Lagoon,studio,data/midi/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Sleepy Lagoon.midi,data/audio/studio/Erroll Garner/Solo Time! The Erroll Garner Collection Vols. 4 & 5/Sleepy Lagoon.mp3,https://www.youtube.com/watch?v=sTHNdFLvpE4,307.752,0,307,train,3c1bcd39-4730-417e-9f72-8d4d03108c68,b87aea54-653a-4a63-b364-8effc6f4dd4c,75bd5186-9d89-4da9-95de-fce055c28895,985b55f0-e649-38b5-ab8a-fbee3e6119ee,4456e13d-5d24-43fb-b6ac-e18a07a3eb0a,0.9215236346948142,42
54,Marc Copland,John,Sad Song,studio,data/midi/studio/Marc Copland/John/Sad Song.midi,data/audio/studio/Marc Copland/John/Sad Song.mp3,https://www.youtube.com/watch?v=9kbMLt4ZHV8,283.584,0,283,train,,,,,,0.875560538116592,44
