idx,key,uid,title,year,url,tracklist
10,"('David Berkman', 'Plays the Music of John Coltrane and Pete Seeger')",20211790,David Berkman Plays Music By John Coltrane And Pete Seeger: Solo Piano,2020,https://www.discogs.com/release/20211790-David-Berkman-David-Berkman-Plays-Music-By-John-Coltrane-And-Pete-Seeger-Solo-Piano,"[<Track '1' 'Where Have All The Flowers Gone'>, <Track '2' 'Equinox'>, <Track '3' 'The Bells Of Rhymney 1'>, <Track '4' 'This Land Is Your Land'>, <Track '5' ""Moment's Notice"">, <Track '6' 'There Are Mean Things Happening In This Land'>, <Track '7' ""You Don't Know What Love Is"">, <Track '8' 'The Bells Of Rhymney 2'>, <Track '9' 'Goodnight Irene'>, <Track '10' 'Impressions'>, <Track '11' 'Body And Soul'>, <Track '12' 'Where Have All The Flowers Gone 2'>, <Track '13' 'We Shall Overcome'>, <Track '14' 'Epilogue: Giant Steps'>]"
11,"('David Berkman', 'Self-Portrait')",13570158,Self-Portrait,2012,https://www.discogs.com/release/13570158-David-Berkman-Self-Portrait,"[<Track '1' 'Smoke Gets In Your Eyes'>, <Track '2' 'First Sketch'>, <Track '3' 'Serenity'>, <Track '4' 'Body And Soul'>, <Track '5' 'Second Sketch'>, <Track '6' 'But Not For Me 1'>, <Track '7' 'Sweet And Lovely'>, <Track '8' 'It Could Happen To You'>, <Track '9' 'Anniversary Waltz'>, <Track '10' 'But Not For Me 2'>, <Track '11' 'Third Sketch'>, <Track '12' 'Just In Time'>, <Track '13' 'Tiny Prairie Landscape'>, <Track '14' 'Moon And Sand'>, <Track '15' 'Milestones'>, <Track '16' 'Fourth Sketch'>, <Track '17' 'Embraceable You'>]"
12,"('Dave McKenna', 'Dave Fingers McKenna')",3362118,"Dave ""Fingers"" McKenna",1977,https://www.discogs.com/release/3362118-Dave-McKenna-Dave-Fingers-McKenna,"[<Track 'A1' 'My Melancholy Baby'>, <Track 'A2' ""Bill Bailey Won't You Please Come Home"">, <Track 'A3' 'Lonesome Me'>, <Track 'A4' 'Chloe'>, <Track 'A5' 'Stumbling'>, <Track 'B1' 'Somebody Stole My Gal'>, <Track 'B2' 'As Time Goes By'>, <Track 'B3' 'Someday Sweetheart'>, <Track 'B4' 'All Alone'>, <Track 'B5' 'The Curse Of An Aching'>, <Track 'B6' 'Melancholy'>]"
13,"('Ellis Larkins', 'The Maybeck Recital Series, Vol. 22')",12624129,At Maybeck,1992,https://www.discogs.com/release/12624129-Ellis-Larkins-At-Maybeck,"[<Track '1' 'Introductory Announcement'>, <Track '2' 'Howdja Like To Love Me'>, <Track '3' 'Perfume And Rain'>, <Track '4' 'Lady Be Good'>, <Track '5' ""I Don't Want To Cry Anymore"">, <Track '6' 'Blue Skies'>, <Track '' ""No More / God Bless' The Child"">, <Track '8' 'I Let A Song Go Out Of My Heart'>, <Track '9' 'Spring Will Be A Little Late This Year'>, <Track '10' 'Leave Me Alone'>, <Track '11' ""Things Ain't What They Used To Be"">, <Track '' ""When A Woman Loves A Man / I'm Through With Love"">]"
14,"('Bill Mays', 'The Maybeck Recital Series, Vol. 26')",12624163,At Maybeck,1995,https://www.discogs.com/release/12624163-Bill-Mays-At-Maybeck,"[<Track '1' 'A Nightingale Sang In Berkeley Square'>, <Track '2' 'I Wish I Knew'>, <Track '3' ""Stompin' At The Savoy"">, <Track '4' 'Boardwalk Blues'>, <Track '5' 'Lush Life'>, <Track '6' ""I'm Confessin' (That I Love You)"">, <Track '7' ""Guess I'll Hang My Tears Out To Dry"">, <Track '8' 'Jitterbug Waltz'>, <Track '9' 'Thanksgiving Prayer'>, <Track '10' 'Why Did I Choose You?/Never Let Me Go'>, <Track '11' ""Grandpa's Spells"">]"
15,"('Ted Rosenthal', 'The Maybeck Recital Series, Vol. 38')",1343216,Ted Rosenthal At Maybeck,1995,https://www.discogs.com/master/1343216-Ted-Rosenthal-Ted-Rosenthal-At-Maybeck,"[<Track '1' ""It's All Right With Me"">, <Track '2' 'Long Ago And Far Away'>, <Track '3' ""Lennie's Pennies"">, <Track '4' 'Better You Than Me'>, <Track '5' ""You're A Joy"">, <Track '6' ""Jesu, Joy Of Man's Desiring"">, <Track '7' 'Drop Me A Line'>, <Track '8' '117th Street'>, <Track '9' 'Gone With The Wind'>, <Track '10' 'Hallucinations'>, <Track '11' ""You've Got To Be Modernistic"">]"
16,"('George Shearing', 'The Shearing Piano')",638309,The Shearing Piano,1957,https://www.discogs.com/master/638309-George-Shearing-The-Shearing-Piano,"[<Track 'A1' 'Stella By Starlight'>, <Track 'A2' 'On The Street Where You Live'>, <Track 'A3' 'Guilty'>, <Track 'A4' 'Friendly Persuasion'>, <Track 'A5' ""For Every Man There's A Woman"">, <Track 'B1' 'It Might As Well Be Spring'>, <Track 'B2' 'High On A Windy Hill'>, <Track 'B3' 'If'>, <Track 'B4' 'A Tune For Humming'>, <Track 'B5' 'Sigh No More'>]"
17,"('Fred Hersch', 'Solo')",7718291,Solo,2015,https://www.discogs.com/release/7718291-Fred-Hersch-Solo,"[<Track '1' 'Olha  Maria / O Grande Amor'>, <Track '2' 'Caravan'>, <Track '3' 'Pastorale'>, <Track '4' 'Whirl'>, <Track '5' 'The Song Is You'>, <Track '6' 'In Walked Bud'>, <Track '7' 'Both Sides Now'>]"
18,"('Dick Hyman', 'In Concert at the Old Mill Inn')",13355950,In Concert At The Old Mill Inn,2009,https://www.discogs.com/release/13355950-Dick-Hyman-In-Concert-At-The-Old-Mill-Inn,"[<Track '1' ""Ain't Misbehavin'"">, <Track '2' ""I Can't Get Started"">, <Track '3' ""Stompin' At The Savoy"">, <Track '4' 'Have A Heart'>, <Track '5' 'Honeysuckle Rose'>, <Track '6' 'All The Things You Are'>, <Track '7' 'Undecided'>, <Track '8' 'Blackbird'>, <Track '9' 'Christopher Columbus'>, <Track '10' 'Ocean Languor'>, <Track '11' 'Pass It Along'>, <Track '12' 'The Man I Love'>]"
19,"('Alan Broadbent', 'To the Evening Star')",,,,,
20,"('Cedar Walton', 'The Maybeck Recital Series, Vol. 25')",11262744,At Maybeck,1992,https://www.discogs.com/release/11262744-Cedar-Walton-At-Maybeck,"[<Track '1' 'The Maybeck Blues'>, <Track '2' 'Stella By Starlight'>, <Track '3' 'Sweet Lorraine'>, <Track '4' 'Darn That Dream'>, <Track '5' 'Zingaro/Caminhos Cruzados'>, <Track '6' ""Bremond's Blues"">, <Track '7' ""You're My Everything"">, <Track '8' 'The Meaning Of The Blues'>, <Track '9' ""I'm Old Fashioned"">, <Track '10' ""I Didn't Know What Time It Was"">, <Track '11' 'Just One Of Those Things'>]"
21,"('Oscar Peterson', 'Tracks (Remastered)')",4214104,Tracks,2005,https://www.discogs.com/release/4214104-Oscar-Peterson-Tracks,"[<Track '1' 'Give Me The Simple Life'>, <Track '2' 'Basin Street Blues'>, <Track '3' 'Honeysuckle Rose'>, <Track '4' 'Dancing On The Ceiling'>, <Track '5' 'A Child Is Born'>, <Track '6' 'If I Should Lose You'>, <Track '7' 'A Little Jazz Exercise'>, <Track '8' 'Django'>, <Track '9' 'Ja-Da'>, <Track '10' 'Just A Gigolo'>]"
22,"('Art Tatum', 'The Art Tatum Solo Masterpieces, Vol. 3')",11623344,"The Art Tatum Solo Masterpieces, Vol. 3",1992,https://www.discogs.com/release/11623344-Art-Tatum-The-Art-Tatum-Solo-Masterpieces-Volume-Three,"[<Track '1' 'Yesterdays'>, <Track '2' 'Tenderly'>, <Track '3' 'Jitterbug Waltz'>, <Track '4' 'Love Me Or Leave Me'>, <Track '5' 'Deep Purple'>, <Track '6' 'Begin The Beguine'>, <Track '7' 'Dixieland Band'>, <Track '8' 'All The Things You Are'>, <Track '9' 'Crazy Rhythm'>, <Track '10' 'Prisoner Of Love'>, <Track '11' ""After You've Gone"">, <Track '12' 'When Your Lover Has Gone'>, <Track '13' 'Indiana (Back Home Again In Indiana)'>, <Track '14' 'I Surrender, Dear'>, <Track '15' ""If You Hadn't Gone Away"">, <Track '16' ""I Can't Give You Anything But Love"">]"
23,"('Duke Jordan', 'One For The Library')",16264013,One For The Library,2015,https://www.discogs.com/release/16264013-Duke-Jordan-One-For-The-Library,"[<Track '1' 'No Problem'>, <Track '2' ""They Can't Take That Away From Me"">, <Track '3' 'Lush Life'>, <Track '4' 'Everything Happens To Me'>, <Track '5' 'All The Things You Are'>, <Track '6' 'The Way You Look Tonight'>, <Track '7' 'Jor-Du'>, <Track '8' 'Tea For Two / Star Dust'>, <Track '9' 'Yesterdays'>, <Track '10' 'Flight To Jordan'>, <Track '11' ' Misty'>, <Track '12' ""It's Only A Paper Moon"">, <Track '13' ""Don't Blame Me"">, <Track '14' 'Parisian Hop'>, <Track '15' 'Two Loves'>, <Track '16' 'Night Walk'>, <Track '17' 'How Deep Is The Ocean'>, <Track '18' 'Three Little Words'>]"
24,"('Horace Parlan', 'The Maestro')",572518,The Maestro,1982,https://www.discogs.com/master/572518-Horace-Parlan-The-Maestro,"[<Track 'A1' 'Ruby, My Dear'>, <Track 'A2' 'Spring Is Here'>, <Track 'A3' 'A Flower Is A Lovesome Thing'>, <Track 'B1' 'Peace'>, <Track 'B2' 'The Maestro'>, <Track 'B3' 'Nardis'>]"
25,"('Joanne Brackeen', 'Popsicle Illusion')",3141989,Popsicle Illusion,2000,https://www.discogs.com/release/3141989-Joanne-Brackeen-Popsicle-Illusion,"[<Track '1' 'If I Were A Bell'>, <Track '2' 'Michelle'>, <Track '3' 'Popsicle Illusion'>, <Track '4' 'From This Moment On'>, <Track '5' 'Bess You Is My Woman'>, <Track '6' 'The Touch Of Your Lips'>, <Track '7' 'Telavivision'>, <Track '8' 'Knickerbocker Blues'>, <Track '9' 'High Tea For Stephany'>, <Track '10' 'Prelude To A Kiss'>, <Track '11' 'Nature Boy'>, <Track '12' 'Interview With Joanne'>]"
26,"('Simon Mulligan', 'American Songbook')",,,,,
27,"('Cedar Walton', 'Underground Memoirs')",11309477,Underground Memoirs,2005,https://www.discogs.com/release/11309477-Cedar-Walton-Underground-Memoirs,"[<Track '1' 'Milestones'>, <Track '2' 'Lost April'>, <Track '3' 'Someday My Prince Will Come'>, <Track '4' 'Con Alma'>, <Track '5' 'Skylark'>, <Track '6' 'Everytime We Say Goodbye'>, <Track '7' 'One Green Dolphin Street'>, <Track '8' 'Underground Memoirs'>, <Track '9' 'Sophisticated Lady'>, <Track '10' 'I Want To Talk About You'>]"
28,"('Denny Zeitlin', 'Homecoming')",492931,Homecoming,1986,https://www.discogs.com/master/492931-Denny-Zeitlin-Homecoming,"[<Track 'A1' 'First Light'>, <Track 'A2' 'Homecoming'>, <Track 'A3' 'Waltz For Josephine'>, <Track 'A4' 'Morning Touch'>, <Track 'A5' 'Hymn'>, <Track 'B1' 'Just Passing By'>, <Track 'B2' 'Brazilian Street Dance'>, <Track 'B3' 'Millpond'>, <Track 'B4' 'Mayfly'>, <Track 'B5' 'Quiet Now'>]"
29,"('Oscar Peterson', 'Solo')",1403996,Solo,2002,https://www.discogs.com/master/1403996-Oscar-Peterson-Solo,"[<Track '1' 'Yesterdays'>, <Track '2' ""Makin' Whoopee"">, <Track '3' 'Who Can I Turn To (When Nobody Needs Me)'>, <Track '4' 'Take The ""A"" Train'>, <Track '5' 'Body And Soul'>, <Track '6' 'Blues Of The Prairies'>, <Track '7' 'Corcovado'>, <Track '8' 'Blues Etude'>, <Track '9' 'Autumn Leaves'>, <Track '10' ""Here's That Rainy Day"">, <Track '11' 'Sweet Georgia Brown'>, <Track '12' 'Satin Doll'>, <Track '13' 'Mirage'>, <Track '14' 'Hogtown Blues'>]"
30,"('Gonzalo Rubalcaba', 'Solo')",270806,Solo,2006,https://www.discogs.com/master/270806-Gonzalo-Rubalcaba-Solo,"[<Track '1' 'Rezo (Praise Be!)'>, <Track '2' 'Quasar'>, <Track '3' 'Silencio (Silence)'>, <Track '4' 'Paseo Iluminado'>, <Track '5' 'Canción Para Dormir En El Sillón (Lullaby)'>, <Track '6' 'Paseo En Media Luz'>, <Track '7' 'Canción De Cuna Del Niño Negro (Lullaby For A Black Child)'>, <Track '8' 'Faro (Beacon)'>, <Track '9' 'Paseo Azul'>, <Track '10' 'Sueño De Muñecas (Dream Of The Dolls)'>, <Track '11' 'Paseo Morado'>, <Track '12' 'Prólogo (Prologue To A Fantasy)'>, <Track '13' ""Here's That Rainy Day"">, <Track '14' 'Nightfall'>, <Track '15' 'Besame Mucho (Instrumental)'>]"
31,"('Jed Distler', 'Cole Porter on a Steinway, Vol. 1')",15103805,"Cole Porter On A Steinway, Vol. 1",2019,https://www.discogs.com/release/15103805-Cole-Porter-Cole-Porter-On-A-Steinway-Vol-1,"[<Track '1' 'I Get A Kick Out Of You'>, <Track '2' 'You Do Something To Me'>, <Track '3' 'Just One Of Those Things'>, <Track '4' 'I Love You'>, <Track '5' 'In The Still Of The Night'>, <Track '6' ""I've Got You Under My Skin"">, <Track '7' 'Night And Day'>, <Track '8' ""Let's Do It, Let's Fall In Love"">, <Track '9' 'Get Out Of Town'>, <Track '10' 'Gay Divorce: After You, Who?'>, <Track '11' 'Easy To Love'>, <Track '12' ""Ev'ry Time We Say Goodbye"">]"
32,"('Alan Broadbent', 'The Maybeck Recital Series, Vol. 14')",8681776,Recorded Live At Maybeck Recital Hall,1991,https://www.discogs.com/release/8681776-Alan-Broadbent-Live-At-Maybeck-Recital-Hall-Volume-Fourteen,"[<Track '1' 'Introduction'>, <Track '2' 'I Hear a Rhapsody'>, <Track '3' 'Oleo'>, <Track '4' ""You've Changed"">, <Track '5' ""Lennie's Pennies"">, <Track '6' ""Strollin'"">, <Track '7' 'Peace'>, <Track '8' 'Nardis'>, <Track '9' ""Woody 'N' I"">, <Track '10' 'Sweet And Lovely'>, <Track '11' 'Mendocino Nights'>, <Track '12' 'Upper Manhattan Medical Group'>, <Track '13' ""Don't Ask Why"">, <Track '14' 'Parisian Thoroughfare'>]"
33,"('Keith Jarrett', 'Sun Bear Concerts')",26306,Sun Bear Concerts,1978,https://www.discogs.com/master/26306-Keith-Jarrett-Sun-Bear-Concerts,"[<Track '' 'Kyoto, November 5th, 1976'>, <Track 'A' 'Part I a'>, <Track 'B' 'Part I b'>, <Track 'C' 'Part II a'>, <Track 'D' 'Part II b'>, <Track '' 'Osaka, November 8th, 1976'>, <Track 'E' 'Part I a'>, <Track 'F' 'Part I b'>, <Track 'G' 'Part II a'>, <Track 'H' 'Part II b'>, <Track '' 'Nagoya, November 12th, 1976'>, <Track 'I' 'Part I a'>, <Track 'J' 'Part I b'>, <Track 'K' 'Part II a'>, <Track 'L' 'Part II b'>, <Track '' 'Tokyo, November 14th, 1976'>, <Track 'M' 'Part I a'>, <Track 'N' 'Part I b'>, <Track 'O' 'Part II a'>, <Track 'P' 'Part II b'>, <Track '' 'Sapporo, November 18th, 1976'>, <Track 'Q' 'Part I a'>, <Track 'R' 'Part I b'>, <Track 'S' 'Part II a'>, <Track 'T' 'Part II b'>]"
34,"('Mike Wofford', 'The Maybeck Recital Series, Vol. 18')",3964871,At Maybeck,1992,https://www.discogs.com/release/3964871-Mike-Wofford-At-Maybeck,"[<Track '1' 'Introductory Announcement'>, <Track '2' 'Tonk'>, <Track '3' 'Too Marvelous For Words'>, <Track '4' 'Stablemates'>, <Track '' 'For Woff/One To One'>, <Track '' ""Duke's Place/Mainstem"">, <Track '9' 'Topsy'>, <Track '10' 'Impresiones Intimas N.1'>, <Track '11' 'Lullaby In Rhythm'>]"
35,"('Kenny Barron', 'Live At Maybeck Recital Hall, Volume 10')",3964783,Live At Maybeck Recital Hall Series Volume Ten,1991,https://www.discogs.com/release/3964783-Kenny-Barron-Live-At-Maybeck-Recital-Hall-Series-Volume-Ten,"[<Track '1' ""I'm Getting Sentimental Over You"">, <Track '2' 'Witchcraft'>, <Track '3' 'Bud-Like'>, <Track '4' 'Spring Is Here'>, <Track '5' ""Well You Needn't"">, <Track '6' 'Skylark'>, <Track '7' 'And Then Again'>, <Track '8' 'Sunshower'>]"
36,"('George Cables', ""You Don't Know Me, Vol. 2"")",7010876,You Don't Know Me,2008,https://www.discogs.com/release/7010876-George-Cables-You-Dont-Know-Me,"[<Track '1-1' 'My Foolish Heart'>, <Track '1-2' ""You Don't Know Me"">, <Track '1-3' 'EVC'>, <Track '1-4' 'Up Jumped Spring'>, <Track '1-5' ""You Don't Know What Love Is"">, <Track '1-6' 'Lullaby'>, <Track '1-7' ""Helen's Song"">, <Track '1-8' ""Helen Mothe's Song"">, <Track '1-9' 'Spookarella'>, <Track '1-10' 'Honey Lulu'>, <Track '2-1' ""Here's One - African American Spiritual"">, <Track '2-2' 'Go Down Moses - African American Spiritual'>, <Track '2-3' 'Going Home - African American Spiritual'>, <Track '2-4' 'Smoke Gets In Your Eyes'>, <Track '2-5' 'Senorita de Aranjuez'>, <Track '2-6' 'Looking For The Light'>, <Track '2-7' 'Waltz For Debby'>, <Track '2-8' 'Stella By Starlight'>, <Track '2-9' 'Morning Song'>, <Track '2-10' 'Ana Marie'>, <Track '2-11' 'The Way We Were'>]"
37,"('Brad Mehldau', 'Live in Tokyo')",287459,Live In Tokyo,2004,https://www.discogs.com/master/287459-Brad-Mehldau-Live-In-Tokyo,"[<Track '1' 'Things Behind The Sun'>, <Track '2' 'Intro'>, <Track '3' 'Someone To Watch Over Me'>, <Track '4' 'From This Moment On'>, <Track '5' ""Monk's Dream"">, <Track '6' 'Paranoid Android'>, <Track '7' 'How Long Has This Been Going On'>, <Track '8' 'River Man'>]"
38,"('Simon Mulligan', 'Cole Porter on a Steinway, Vol. 1')",15103805,"Cole Porter On A Steinway, Vol. 1",2019,https://www.discogs.com/release/15103805-Cole-Porter-Cole-Porter-On-A-Steinway-Vol-1,"[<Track '1' 'I Get A Kick Out Of You'>, <Track '2' 'You Do Something To Me'>, <Track '3' 'Just One Of Those Things'>, <Track '4' 'I Love You'>, <Track '5' 'In The Still Of The Night'>, <Track '6' ""I've Got You Under My Skin"">, <Track '7' 'Night And Day'>, <Track '8' ""Let's Do It, Let's Fall In Love"">, <Track '9' 'Get Out Of Town'>, <Track '10' 'Gay Divorce: After You, Who?'>, <Track '11' 'Easy To Love'>, <Track '12' ""Ev'ry Time We Say Goodbye"">]"
39,"('Gonzalo Rubalcaba', 'Fé')",7270263,Fe Faith,2011,https://www.discogs.com/release/7270263-Gonzalo-Rubalcaba-Fe-Faith,"[<Track '1' 'Derivado 1'>, <Track '2' 'Maferefun Lya Lodde Me '>, <Track '3' 'Improvisation 2 (based on Coltrane)'>, <Track '4' 'Derivado 2'>, <Track '5' 'Con Alma 1'>, <Track '6' 'Preludio Corto#2 (Tu amor era Falso)'>, <Track '7' 'Blue In Green 1'>, <Track '8' 'Oro'>, <Track '9' 'Joan'>, <Track '10' 'Joao'>, <Track '11' 'Yolanda Anas'>, <Track '12' 'Blue In Green 2'>, <Track '13' 'Con Alma 3'>, <Track '14' 'Improvisation 1 (based on Coltrane)'>, <Track '15' 'Derivado 3'>]"
40,"('Fred Hersch', 'Let Yourself Go (Live at Jordan Hall)')",5948610,Fred Hersch At Jordan Hall: Let Yourself Go,1999,https://www.discogs.com/release/5948610-Fred-Hersch-Fred-Hersch-At-Jordan-Hall-Let-Yourself-Go,"[<Track '' 'Black Is The Color / Love Theme From ""Spartacus""'>, <Track '2' 'Speak Low'>, <Track '3' 'My Old Man'>, <Track '4' 'I Loves You, Porgy'>, <Track '5' 'Moon & Sand'>, <Track '6' '...Departed'>, <Track '7' 'Let Yourself Go'>, <Track '8' 'Blue Monk'>, <Track '9' 'The Nearness Of You'>]"
41,"('Benny Green', ""Green's Blues"")",9690699,Green's Blues,2001,https://www.discogs.com/release/9690699-Benny-Green-Greens-Blues,"[<Track '1' ""I've Heard That Song Before"">, <Track '2' 'I Wish You Love'>, <Track '3' 'Someone To Watch Over Me'>, <Track '4' 'You Make Me Feel So Young'>, <Track '5' 'Just You, Just Me'>, <Track '6' ""Green's Blues"">, <Track '7' 'Green Eyes'>, <Track '8' 'Misty'>, <Track '9' 'Nice Work If You Can Get It'>, <Track '10' ""Ain't Misbehavin'"">, <Track '11' ""It Don't Mean A Thing"">, <Track '12' 'I Got It Bad'>]"
